epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,433.149,0.87928,0.64408,1.22365,0.92961,0.93692,0.95222,0.66721,1.11101,0.62707,1.55298,0.002278,0.002278,0.002278
80,438.812,0.86208,0.64445,1.21462,0.90873,0.917,0.94397,0.67703,1.07788,0.65485,1.51333,0.002179,0.002179,0.002179
81,444.283,0.85866,0.62846,1.18927,0.92512,0.92139,0.94629,0.66754,1.09734,0.62176,1.54415,0.00208,0.00208,0.00208
82,449.671,0.85269,0.6341,1.20911,0.9215,0.93956,0.95524,0.68502,1.10765,0.63435,1.57072,0.001981,0.001981,0.001981
83,455.187,0.8297,0.62149,1.19762,0.92632,0.92838,0.95159,0.67278,1.10252,0.62268,1.56036,0.001882,0.001882,0.001882
84,460.541,0.84141,0.62431,1.21029,0.9018,0.94295,0.95744,0.67254,1.09543,0.61321,1.56765,0.001783,0.001783,0.001783
85,465.916,0.83789,0.60271,1.19149,0.93134,0.94633,0.96043,0.69023,1.09292,0.61096,1.54736,0.001684,0.001684,0.001684
86,471.279,0.83505,0.60951,1.19716,0.91312,0.9286,0.95564,0.67591,1.10643,0.6275,1.55844,0.001585,0.001585,0.001585
87,476.665,0.82556,0.60408,1.19027,0.93475,0.93344,0.95567,0.68444,1.10895,0.63078,1.5795,0.001486,0.001486,0.001486
88,482.223,0.81261,0.58299,1.17554,0.96971,0.87339,0.95326,0.67841,1.09736,0.61771,1.56133,0.001387,0.001387,0.001387
89,487.773,0.84293,0.60679,1.20485,0.91649,0.92046,0.95309,0.67594,1.11985,0.62139,1.5802,0.001288,0.001288,0.001288
90,493.415,0.82051,0.58459,1.18385,0.95524,0.90602,0.95766,0.68692,1.09188,0.605,1.55807,0.001189,0.001189,0.001189
91,499.921,0.66344,0.44028,1.1546,0.92318,0.92577,0.95466,0.67373,1.09915,0.60782,1.56188,0.00109,0.00109,0.00109
92,505.207,0.6611,0.42494,1.1588,0.94722,0.93131,0.96004,0.67987,1.10743,0.58988,1.57375,0.000991,0.000991,0.000991
93,510.565,0.64392,0.403,1.13941,0.92678,0.93278,0.95814,0.68372,1.09386,0.64027,1.56423,0.000892,0.000892,0.000892
94,515.947,0.63575,0.39085,1.12559,0.9418,0.94288,0.96274,0.68598,1.11523,0.64565,1.57411,0.000793,0.000793,0.000793
95,521.403,0.62556,0.39341,1.12718,0.93639,0.94619,0.96003,0.6916,1.08432,0.60464,1.54465,0.000694,0.000694,0.000694
96,526.854,0.60873,0.3795,1.10465,0.94369,0.92692,0.95737,0.69445,1.07821,0.60292,1.54554,0.000595,0.000595,0.000595
97,532.271,0.60693,0.37755,1.10139,0.95109,0.93018,0.9566,0.69452,1.07087,0.59117,1.53315,0.000496,0.000496,0.000496
98,537.658,0.5972,0.37173,1.09256,0.96291,0.91242,0.95749,0.69437,1.06638,0.59446,1.53756,0.000397,0.000397,0.000397
99,543.092,0.58804,0.36104,1.08488,0.95081,0.91769,0.96048,0.70154,1.06258,0.58888,1.53408,0.000298,0.000298,0.000298
100,548.608,0.57255,0.36978,1.09154,0.9635,0.91736,0.95883,0.7025,1.06636,0.59835,1.53599,0.000199,0.000199,0.000199
